,cpi_us,d4l_cpi_us,y_us,d4l_y_us,l_y_us_gap,l_y_us_tnd,i_fed_us,i_3lib_us,i_6lib_us,r_us,r_fed_us_tnd,cpi_ez,y_ez,d4l_y_ez,l_y_ez_gap,l_y_ez_tnd,usd_eur,oil,l_qoil_tnd,l_qoil_gap,food,l_qfood_tnd,l_qfood_gap,diam,l_qdiam_tnd,l_qdiam_gap,coblt,l_qcoblt_tnd,l_qcoblt_gap,copp,l_qcopp_tnd,l_qcopp_gap,gold,l_qgold_tnd,l_qgold_gap,coal,l_qcoal_tnd,l_qcoal_gap
Comments,"US Consumer Price Index (index, 2005=100, USD)","US Headline CPI Inflation (percent, YoY, log approx.)","US Real GDP (Mil. USD, 2005 prices)","US Real GDP Growth (percent, YoY, log approx.)",US Real GDP Gap (percent),US Real GDP Trend (100*log),US Fed Funds Interest Rate (percent p.a.),3M USD LIBOR Interest Rate (percent p.a.),6M USD LIBOR Interest Rate (percent p.a.),US Real Interest Rate (percent p.a.),US Equilibrium Real Interest Rate (percent p.a.),"EZ Consumer Price Index (index, 2005=100, EUR)","EZ Real GDP (Mil. EUR, 2000 prices)","EZ Real GDP Growth (percent, YoY, log approx.)",EZ Real GDP Gap (percent),EZ Real GDP Trend (100*log),Nominal USD per EUR Exchange Rate (USD per 1 EUR),Price of Brent Crude Oil (USD),"Real Price of Oil Trend (100*log, deflated by US CPI)","Real Price of Oil Gap (percent, deflated by US CPI)","Food Price Index (2002-2004=100, FAO (UN), USD)","Real Price of Food Trend (100*log, deflated by US CPI)","Real Price of Food Gap (percent, deflated by US CPI)",Industrial Diamonds Price Index (USD),"Real Price of Industrial Diamonds Trend (100*log, deflated by US CPI)","Real Price of Industrial Diamonds Gap (percent, deflated by US CPI)",Shanghai Cobalt Spot Price (USD),"Real Price of Shanghai Cobalt Trend (100*log, deflated by US CPI)","Real Price of Shanghai Cobalt Gap (percent, deflated by US CPI)",LME Copper Spot Price (USD),"Real Price of LME Copper Trend (100*log, deflated by US CPI)","Real Price of LME Copper Gap (percent, deflated by US CPI)",Gold Spot Price (USD),"Real Price of Gold Trend (100*log, deflated by US CPI)","Real Price of Gold Gap (percent, deflated by US CPI)",Price of CSX Coal Future (USD),"Real Price of CSX Coal Futures Trend (100*log, deflated by US CPI)","Real Price of CSX Coal Futures Gap (percent, deflated by US CPI)"
2010Q1,99.87841,2.27126,15415.1,1.69577,-3.34924,967.65952,0.13487,0.25603,0.39846,-1.05313,-0.15723,109.03883,2360446.8,1.03491,-1.59341,1469.02956,1.38449,76.65326,-17.16506,-9.30108,177.70909,59.56705,-1.94761,564.52962,217.73766,-44.53373,57122.16873,617.52918,17.37022,7233.99493,416.65929,11.60003,1109.8233,236.67491,4.12534,53.30424,-49.84181,-12.95195
2010Q2,99.61478,1.78459,15557.3,2.75795,-2.55743,967.78596,0.19201,0.43473,0.62701,-1.01818,-0.21507,109.57022,2382201.2,2.20397,-0.76378,1469.11733,1.273,78.68924,-15.95385,-7.62657,171.45749,60.45559,-6.15311,606.25265,215.64229,-35.04366,55718.79117,615.77787,16.89835,7024.8318,417.69783,7.89177,1196.68731,239.55449,9.0457,60.55963,-49.814,0.04579
2010Q3,99.74468,1.21521,15672,3.1291,-1.96045,967.92355,0.18824,0.38733,0.59005,-1.03565,-0.3344,110.02027,2392987.5,2.34287,-0.41526,1469.22057,1.29267,76.40515,-14.8771,-11.77925,186.21784,61.285,1.14535,557.09227,213.69365,-41.68193,50349.26141,613.93515,8.47741,7260.94192,418.59079,10.17432,1227.73061,242.24065,8.79026,63.86364,-49.85625,5.26989
2010Q4,100.78835,1.24634,15750.6,2.53657,-1.60633,968.0697,0.18948,0.29247,0.4521,-1.45321,-0.47342,110.73093,2407445.4,2.38945,0.0708,1469.33688,1.35856,86.79487,-13.94752,-1,216.51073,62.02025,14.44148,632.02218,211.89891,-28.30874,49280.609,612.0359,7.19042,8633.67983,419.32598,25.71435,1369.72614,244.71839,16.21594,68.29319,-50.01857,11.0973
2011Q1,101.95532,2.05812,15712.8,1.91281,-1.9736,968.1967,0.15626,0.30744,0.45902,-2.04114,-0.51535,111.73013,2427532.6,2.80244,0.77607,1469.46252,1.36805,104.89702,-13.26837,16.11281,235.8,62.60506,21.23986,786.07733,210.24026,-5.98822,49903.00487,610.10099,9.22919,9639.1654,419.85973,35.04578,1386.34774,246.94249,14.04685,72.46168,-50.35338,16.20569
2011Q2,103.06351,3.40349,15825.1,1.70673,-1.47189,968.40715,0.09328,0.26296,0.41711,-2.75287,-0.59118,112.60522,2427634,1.88922,0.65168,1469.59109,1.43969,117.08495,-12.90265,25.65808,235.95285,63.00785,19.82081,886.07853,208.68854,6.45748,46661.01153,608.14519,3.38669,9160.42576,420.16615,28.5641,1508.86019,248.90887,19.46757,71.15977,-50.90432,13.86255
2011Q3,103.52887,3.72368,15820.7,0.94435,-1.73529,968.64274,0.08318,0.29735,0.46403,-2.45375,-0.62259,112.99333,2427820.4,1.44513,0.52789,1469.72255,1.41265,112.99636,-12.86706,21.61756,231.16759,63.22921,17.10003,744.63898,207.22642,-9.92152,43304.80084,606.2011,-2.58427,8982.8631,420.26161,26.06074,1703.51175,250.5848,29.47486,77.30737,-51.66036,22.45424
2011Q4,104.08751,3.22092,16004.1,1.59665,-0.91824,968.97827,0.07511,0.47802,0.68287,-2.35157,-0.67991,113.95253,2420742.8,0.55082,0.10226,1469.85624,1.34789,109.29406,-13.09407,17.97508,216.87714,63.27785,10.13206,581.55931,205.87098,-33.82288,40420.73181,604.30226,-8.11565,7511.36273,420.15629,7.73773,1683.08887,251.92243,26.39297,73.97161,-52.67618,18.52112
2012Q1,104.79362,2.74582,16129.4,2.6168,-0.52548,969.36537,0.10554,0.51283,0.76227,-2.43964,-0.67171,114.73848,2417070.8,-0.4319,-0.18907,1469.99577,1.31177,118.59574,-13.51123,25.88399,216.28699,63.17994,9.28138,707.92649,204.64806,-13.61332,39219.28846,602.48138,-9.98828,8324.72962,419.90121,17.59808,1691.83333,252.9326,25.22491,59.65869,-53.91595,-2.41936
2012Q2,105.02519,1.88548,16198.8,2.33399,-0.5,969.76924,0.15438,0.46523,0.73092,-2.08657,-0.66546,115.3908,2408712.6,-0.78247,-0.6824,1470.1427,1.28332,108.8581,-14.10439,17.68888,206.48711,62.94202,4.66176,699.87158,203.53164,-13.86198,38144.4231,600.76299,-11.26953,7870.24163,419.47985,12.18453,1612.64646,253.62366,19.5195,54.38047,-55.22596,-10.59357
2012Q3,105.3158,1.7113,16220.7,2.4969,-0.74808,970.15243,0.14663,0.42303,0.70407,-1.97384,-0.65382,115.86107,2405303.5,-0.93178,-0.98164,1470.30031,1.25226,109.95447,-14.7593,19.06959,214.83232,62.58458,8.70485,633.00687,202.51887,-23.16709,34844.10196,599.1698,-19.00224,7727.47856,418.91385,10.64359,1656.59342,254.02712,21.52839,61.03598,-56.53743,1.98743
2012Q4,106.0289,1.84798,16239.1,1.4577,-1.02466,970.54238,0.1609,0.31649,0.54028,-1.95757,-0.65049,116.54585,2395203.4,-1.06063,-1.57199,1470.46986,1.29775,110.43877,-15.40767,19.48261,215.48159,62.09849,8.81788,658.70729,201.617,-18.96025,34395.97509,597.73739,-19.53908,7913.24891,418.21646,13.04174,1716.93136,254.14679,24.31142,63.6129,-57.92199,6.83244
2013Q1,106.55362,1.66554,16383,1.56005,-0.59304,970.99299,0.14409,0.29125,0.46537,-2.29722,-0.60863,116.89221,2387193.9,-1.24378,-2.09254,1470.65545,1.32016,112.88955,-15.96684,21.74299,213.45788,61.4891,7.99002,728.82831,200.81698,-8.538,33535.24097,596.48484,-21.31446,7922.34621,417.39212,13.48731,1630.57704,253.98747,18.81662,60.38886,-59.40079,2.61642
2013Q2,106.49348,1.38836,16403.2,1.25393,-0.93295,971.45612,0.11631,0.27464,0.4229,-1.86512,-0.59884,117.02554,2398853.5,-0.41015,-1.80963,1470.85977,1.30677,103.00414,-16.35443,13.02296,214.46669,60.76615,9.24092,710.5038,200.10202,-10.31297,32568.6136,595.43241,-23.13036,7156.70456,416.45117,4.32094,1414.72241,253.59224,5.06824,61.37912,-60.93357,5.83216
2013Q3,106.96353,1.55244,16531.7,1.89915,-0.68321,971.98671,0.0853,0.26104,0.39201,-1.89287,-0.62503,117.40181,2407000.2,0.07052,-1.68901,1471.07819,1.32508,110.10084,-16.41463,19.3055,205.2475,59.93325,5.23961,678.73307,199.46933,-14.69533,33698.8315,594.59897,-19.32592,7084.05345,415.4283,3.88306,1330.88957,253.04103,-0.92954,54.46377,-62.52746,-4.96777
2013Q4,107.31406,1.2048,16663.6,2.58048,-0.47374,972.57194,0.08542,0.24101,0.35213,-1.81256,-0.61936,117.46875,2413178.3,0.74765,-1.66246,1471.30798,1.3613,109.40993,-16.0658,18,206.14557,59.01346,6.26883,671.69263,198.91904,-15.51493,32704.66117,593.99011,-22.0388,7162.85883,414.3373,5.75317,1270.90827,252.38261,-5.20987,60.23081,-64.09618,6.33862
2014Q1,108.06408,1.4076,16621.7,1.44649,-1.29928,973.14571,0.07259,0.23557,0.33272,-1.80915,-0.53234,117.68601,2423579,1.51268,-1.47081,1471.5464,1.3706,107.88015,-15.17035,15,208.53311,58.0131,7.72425,768.49369,198.44673,-2.27593,33020.861,593.62413,-21.40708,7030.23804,413.18644,4.33871,1293.73213,251.65731,-3.4011,62.90118,-65.6993,11.58335
2014Q2,108.67974,2.03216,16830.1,2.56925,-0.7,973.79242,0.09106,0.22792,0.32322,-2.33098,-0.44601,117.70232,2427548.7,1.18911,-1.55,1471.78925,1.37127,109.77753,-20.05507,21.06011,210.27328,56.93793,9.06233,786.76794,198.03141,-0.07861,32861.09401,593.51121,-22.34728,6795.27679,411.99233,1.56544,1289.90905,250.87853,-3.48637,60.21461,-67.35399,8.30496
2014Q3,108.879,1.77492,17033.6,2.99081,-0.14566,974.43997,0.08962,0.23401,0.32876,-2.23533,-0.4056,117.79533,2437466.4,1.25779,-1.38716,1472.03413,1.32497,102.0806,-29.09746,22.65002,198.403,55.79551,4.2108,875.7114,197.66506,10.81489,36527.67696,593.66395,-12.10511,6995.81128,410.77522,5.50776,1281.84713,250.06554,-3.48352,55.95031,-69.01646,2.43914
2014Q4,108.62897,1.21784,17113.9,2.66643,-0.32335,975.08798,0.10162,0.236,0.3306,-1.70091,-0.33022,117.65362,2448724.4,1.46226,-1.18038,1472.28816,1.24866,76.01267,-40.68645,4.98265,189.94467,54.61642,1.26305,771.26173,197.3303,-1.32133,35048.87258,594.07069,-16.41463,6632.26021,409.53934,1.63694,1199.60742,249.23571,-9.05456,52.64218,-70.6217,-1.82033
2015Q1,108.0082,-0.05172,17254.7,3.73755,-0.07185,975.65583,0.11454,0.26001,0.37718,-1.16745,-0.25211,117.33657,2467778.1,1.80728,-0.67503,1472.5579,1.12675,53.92967,-53.12107,-16.33157,175.39274,53.42549,-4.94344,853.02727,197.03731,9.62113,34798.8408,594.75081,-17.23759,5833.16039,408.30853,-9.39782,1219.3217,248.42744,-6.04315,46.58325,-72.1132,-11.98341
2015Q2,108.64205,-0.03469,17397,3.31288,0.24315,976.16216,0.12581,0.27901,0.4194,-1.47579,-0.22413,117.93031,2476627.6,2.00158,-0.60695,1472.84779,1.10699,62.09896,-64.68702,8.7541,166.84011,52.25899,-9.36124,900.26178,196.77038,14.69233,35349.98729,595.71662,-17.21714,6056.62506,407.1241,-5.03915,1193.74372,247.64187,-7.96276,43.54796,-73.39584,-18.02371
2015Q3,109.00999,0.12024,17438.8,2.35097,0.04479,976.6005,0.13577,0.3137,0.50487,-1.40206,-0.20421,117.89245,2485632.6,1.95681,-0.56383,1473.1676,1.11218,50.03149,-73.92733,-3.95135,158.13894,51.14587,-13.94242,720.02906,196.52167,-7.73646,34087.95429,596.97886,-22.45287,5267.1,405.98922,-18.20965,1125.17137,246.89817,-13.47306,43.79039,-74.40543,-16.79708
2015Q4,109.11274,0.44435,17456.2,1.98039,-0.25575,977.00076,0.15823,0.40769,0.63088,-1.33534,-0.14029,117.84581,2496138.1,1.91775,-0.5,1473.52553,1.09491,43.42099,-79.14387,-13,155.59519,50.1136,-14.626,556.67262,196.3162,-33.35663,33219.82038,598.55952,-26.70748,4884.943,404.94853,-24.7954,1103.892,246.22776,-14.80618,38.31591,-75.13162,-29.52003
2016Q1,109.17887,1.07804,17523.4,1.54526,-0.2743,977.40354,0.36531,0.62281,0.87178,-1.13726,-0.10151,117.40663,2510926,1.73334,-0.31435,1473.93057,1.10313,34.35772,-78.61608,-37,149.93498,49.17321,-17.45179,608.60381,196.18234,-24.36434,31232.91246,600.47817,-34.85416,4674.73472,404.0283,-28.33429,1180.48453,245.64153,-7.57226,37.74455,-75.47949,-30.73515
2016Q2,109.78412,1.04574,17622.5,1.28787,-0.13441,977.82759,0.36921,0.64099,0.91978,-1.23688,-0.08325,117.83072,2518004.3,1.65688,-0.48694,1474.38466,1.12963,45.95284,-77.7366,-9.35342,157.81494,48.33991,-12.04919,749.88664,196.10678,-3.96616,30258.9775,602.76164,-40.8584,4736.41383,403.24396,-26.79199,1258.22517,245.11197,-1.21781,35.07247,-75.44054,-38.66938
2016Q3,110.24366,1.12535,17706.7,1.52455,-0.1,978.26984,0.39453,0.78234,1.14145,-1.41978,-0.02953,118.21356,2527207.4,1.65877,-0.63307,1474.89561,1.11598,45.80131,-76.67501,-11.16302,166.66606,47.59696,-6.26704,765.81444,196.06158,-2.23689,31562.67522,605.43027,-39.72651,4779.59325,402.59463,-25.65285,1334.90963,244.61316,4.77943,45.69246,-74.97502,-13.10095
2016Q4,111.06182,1.77054,17784.2,1.86155,-0.1302,978.73677,0.44674,0.91661,1.27007,-1.65005,-0.01339,118.72519,2546800.7,2.00932,-0.43576,1475.47061,1.07835,50.07822,-75.43857,-4.21152,171.45995,46.92385,-3.49758,886.73441,196.03998,11.70587,33762.95811,608.48673,-36.78348,5280.84791,402.07654,-15.90105,1216.84956,244.12057,-4.72723,58.23247,-74.27668,9.71228
2017Q1,111.9439,2.50103,17863,1.91944,-0.1787,979.22738,0.6965,1.06267,1.36314,-1.73083,0.03933,119.46815,2562244.2,2.02319,-0.40176,1476.04117,1.06511,54.11816,-74.08679,1.40399,173.90609,46.30942,-2.25766,955.8458,196.02138,18.43849,50502.97096,611.92734,-0.74838,5840.03415,401.66169,-6.21228,1219.58494,243.67365,-4.84684,55.74926,-73.52589,3.81252
2017Q2,111.88047,1.89152,17995.2,2.09286,0.02778,979.75825,0.9469,1.19526,1.41442,-1.2076,0.10149,119.61817,2580526.3,2.45267,-0.261,1476.61139,1.10007,50.24759,-72.67236,-7.37448,172.40673,45.74736,-2.50482,914.68925,195.99453,14.1208,55936.93057,615.67734,5.77757,5667.74122,401.3202,-8.80871,1258.90092,243.27302,-1.21669,52.09831,-72.71092,-3.71894
2017Q3,112.42374,1.95821,18120.8,2.31174,0.15341,980.32816,1.1489,1.30642,1.45076,-1.18677,0.15335,119.9328,2599159.9,2.80734,-0.11286,1477.18274,1.17472,51.74081,-71.16619,-6.43664,178.26731,45.23642,0.86449,847.8468,195.96239,6.08009,63757.58462,619.19877,14.85806,6349.30357,401.05115,2.33138,1279.08195,242.90315,0.25912,57.26984,-71.80666,4.35655
2017Q4,113.40376,2.08675,18223.8,2.4418,0.13264,980.91573,1.19613,1.45495,1.63209,-1.20152,0.15547,120.41729,2616923.6,2.71615,-0.00674,1477.75774,1.17783,61.46836,-69.59592,8.35273,173.76012,44.7628,-2.09068,785.24912,195.93343,-2.42878,73972.09931,622.47481,25.57406,6822.68082,400.81981,8.88551,1276.66971,242.5571,-0.45154,63.25742,-70.89029,12.51608
2018Q1,114.41474,2.18321,18324,2.54801,0.08277,981.51392,1.43563,1.909,2.09173,-1.14615,0.22181,120.96125,2626582.4,2.48,-0.11333,1478.23274,1.22929,66.95133,-68.06887,14.48247,171.01528,44.33503,-4.14274,850.3378,195.91726,4.66312,95449.27772,625.48508,47.16696,6957.18528,400.60331,10.16672,1329.59526,242.23706,3.04294,64.04889,-70.03703,12.01871
2018Q2,114.92361,2.68366,18507.2,2.80548,0.45105,982.14046,1.72285,2.31151,2.46578,-1.03548,0.27303,121.65215,2635665.4,2.11423,-0.24312,1478.70774,1.19251,74.48867,-66.64057,23.27851,174.58404,43.95846,-2.1446,805.11122,195.90567,-1.23438,98432.60863,628.18802,47.09796,6880.88115,400.39332,8.83011,1306.23498,241.92845,1.13521,59.35983,-69.25989,3.19491
2018Q3,115.51539,2.71287,18628.5108,2.76328,0.48265,982.7622,1.91554,2.25901,2.6812,-0.77309,0.32413,122.16604,2648409.331,1.87709,-0.22842,1479.1754,1.152,73.36,-65.37579,19.9733,172.80504,43.62395,-3.34793,771,195.90571,-6.07725,74896,630.592,16.8532,6181,400.18988,-2.20673,1240,241.63957,-4.29328,64.91,-68.51219,10.87198
2018Q4,116.18129,2.41973,18747.62628,2.83387,0.50427,983.37797,2.18496,2.50232,2.90948,-0.37566,0.37546,122.66815,2661100.37,1.67403,-0.21155,1479.63658,1.15027,70.97481,-64.26265,14.97997,175.42759,43.33319,-2.12574,787.45399,195.92325,-4.55794,73812.36951,632.77308,12.6399,6295.48079,400.01805,-0.7745,1264,241.39345,-2.70498,64.51128,-67.8529,9.02173
2019Q1,116.87944,2.13131,18839.05612,2.77205,0.38438,983.98436,2.40095,2.67761,3.05295,-0.02743,0.42366,123.17196,2674077.891,1.79211,-0.18045,1480.09196,1.15142,69.46137,-63.27221,11.23498,180.2634,43.07907,0.24854,801.53111,195.95653,-3.41845,73385.21147,634.75355,9.47993,6292.17164,399.87299,-1.28113,1277.5,241.18396,-2.03223,63.48226,-67.27431,6.23605
2019Q2,117.54966,2.25933,18933.02613,2.2748,0.28398,984.58233,2.56288,2.79357,3.12959,0.14221,0.4681,123.6838,2687077.689,1.93186,-0.14562,1480.5421,1.15258,68.53567,-62.37688,8.42623,180.77056,42.85036,0.18641,813.43203,196.00399,-2.56384,73386.48183,636.55347,7.10994,6317.64044,399.75462,-1.3306,1277.5,241.00817,-2.42823,62.10654,-66.75862,2.95766
2019Q3,118.23327,2.32558,19026.44057,2.11364,0.18609,985.1724,2.66526,2.9597,3.22101,0.26279,0.50843,124.18542,2699974.094,1.9283,-0.11221,1480.98748,1.15373,68.05761,-61.55017,6.31968,181.36342,42.64453,0.1398,823.9194,196.0642,-1.92288,73709.95277,638.1909,5.33246,6335.11861,399.66184,-1.54141,1290,240.8671,-1.89331,61.27021,-66.28221,0.54564
2019Q4,118.9304,2.33866,19122.96436,1.98228,0.10934,985.75518,2.74575,3.07892,3.29288,0.36467,0.54575,124.70046,2712672.665,1.91947,-0.08411,1481.4286,1.15488,67.91609,-60.7663,4.73976,182.03149,42.45927,0.10485,833.36832,196.13589,-1.44216,74261.85836,639.68209,3.99934,6350.36758,399.59392,-1.82097,1302.3363,240.75764,-1.41998,60.65419,-65.82587,-1.50911
2020Q1,119.64053,2.33486,19223.61579,2.02073,0.05828,986.3312,2.81431,3.1704,3.3541,0.44748,0.58029,125.23087,2725101.395,1.8901,-0.06431,1481.86593,1.15604,68.03619,-60,3.55482,182.76542,42.29255,0.07864,842.06271,196.21791,-1.08162,74974.49523,641.04166,2.99951,6414.63497,399.5503,-1.36573,1313.70687,240.67663,-1.06498,61.52519,-65.37266,-1.13183
2020Q2,120.35062,2.35485,19330.05942,2.07536,0.04063,986.90103,2.87126,3.24067,3.40495,0.50488,0.6122,125.7678,2737366.852,1.85422,-0.04922,1482.29992,1.1572,68.35004,-59.24283,2.66611,183.53843,42.14249,0.05898,850.13015,196.30922,-0.81121,75790.88763,642.28277,2.24963,6473.36809,399.52854,-1.0243,1324.29321,240.62122,-0.79874,62.3459,-64.92228,-0.84887
2020Q3,121.06483,2.36666,19436.38937,2.13174,0.02504,987.46519,2.92004,3.29683,3.4485,0.55625,0.64168,126.31137,2749509.463,1.81803,-0.03767,1482.73097,1.15835,68.81235,-58.49388,1.99958,184.35126,42.00744,0.04423,857.76584,196.40891,-0.60841,76678.074,643.41727,1.68722,6528.34357,399.52646,-0.76822,1334.38276,240.58885,-0.59905,63.13121,-64.47443,-0.63666
2020Q4,121.7825,2.36982,19544.42105,2.17999,0.02037,988.02414,2.9621,3.34266,3.48606,0.6012,0.66892,126.86384,2761559.945,1.78613,-0.02883,1483.15946,1.15951,69.38775,-57.75232,1.49969,185.19835,41.8859,0.03318,865.09114,196.51613,-0.45631,77609.80387,644.45582,1.26542,6580.69627,399.54208,-0.57617,1344.14838,240.57722,-0.44929,63.89065,-64.02887,-0.47749
2021Q1,122.50356,2.36484,19652.91592,2.20862,0.0198,988.5783,2.9985,3.38068,3.51856,0.64195,0.69409,127.42418,2773542.916,1.76199,-0.02206,1483.58567,1.16067,70.0503,-57.01742,1.12477,186.07578,41.77651,0.02488,872.20022,196.63012,-0.34223,78567.30023,645.40802,0.94906,6631.29433,399.57365,-0.43213,1353.72165,240.58425,-0.33697,64.63172,-63.58536,-0.35812
2021Q2,123.22755,2.36233,19761.21799,2.206,0.0196,989.12806,3.02991,3.41246,3.54661,0.67705,0.71734,127.9912,2785478.243,1.74231,-0.01689,1484.0099,1.16183,70.78049,-56.28851,0.84357,186.97967,41.67806,0.01866,879.16109,196.75022,-0.25667,79536.8378,646.28249,0.7118,6680.76147,399.61955,-0.32409,1363.19453,240.60807,-0.25273,65.35995,-63.14371,-0.26859
2021Q3,123.95468,2.35899,19869.209,2.20242,0.01887,989.67378,3.05703,3.43926,3.57082,0.70827,0.73882,128.56485,2797382.03,1.72615,-0.01292,1484.43238,1.163,71.56406,-55.56499,0.63268,187.90763,41.58945,0.014,886.02846,196.87581,-0.19251,80509.03745,647.08702,0.53385,6729.58671,399.67837,-0.24307,1372.63945,240.64702,-0.18954,66.07989,-62.70372,-0.20144
2021Q4,124.68482,2.35524,19976.90874,2.18872,0.01745,990.21578,3.08032,3.46189,3.59161,0.7359,0.75865,129.145,2809267.398,1.7128,-0.00989,1484.85332,1.16416,72.39021,-54.84632,0.47451,188.8572,41.50971,0.0105,892.84114,197.00634,-0.14438,81477.23349,647.8286,0.40039,6778.11338,399.7488,-0.1823,1382.10529,240.69957,-0.14216,66.79485,-62.26523,-0.15108
2022Q1,125.41787,2.35111,20084.37892,2.17166,0.0154,990.75437,3.10024,3.481,3.6094,0.76031,0.77697,129.73118,2821145.09,1.70173,-0.00757,1485.27291,1.16532,73.25085,-54.13201,0.35588,189.82626,41.43794,0.00787,899.62807,197.14131,-0.10828,82436.9621,648.51351,0.30029,6826.59159,399.82969,-0.13673,1391.62664,240.76436,-0.10662,67.5074,-61.82809,-0.11331
2022Q2,126.15379,2.34691,20191.68727,2.15497,0.01282,991.28981,3.11725,3.49716,3.62459,0.78173,0.79388,130.32307,2833023.951,1.69251,-0.00579,1485.69132,1.16649,74.13994,-53.42164,0.26691,190.81307,41.37334,0.0059,906.41069,197.28029,-0.08121,83385.38412,649.14744,0.22522,6875.20145,399.91999,-0.10255,1401.22745,240.84018,-0.07996,68.21949,-61.39216,-0.08498
2022Q3,126.89258,2.34249,20298.9257,2.13967,0.00997,991.82236,3.13179,3.51089,3.63758,0.80052,0.8095,130.92045,2844911.301,1.68479,-0.00443,1486.10868,1.16766,75.05301,-52.71481,0.20018,191.81614,41.31521,0.00443,913.20512,197.42287,-0.06091,84320.87967,649.73547,0.16891,6924.07314,400.01876,-0.07691,1410.92432,240.92591,-0.05997,68.93268,-60.95732,-0.06374
2022Q4,127.63432,2.33802,20406.18663,2.12611,0.0071,992.35224,3.14431,3.52264,3.64875,0.81697,0.82393,131.52309,2856813.233,1.6783,-0.00339,1486.52512,1.16883,75.98676,-52.01116,0.15014,192.83433,41.26289,0.00332,920.02367,197.56869,-0.04568,85242.73714,650.2822,0.12668,6973.30156,400.12516,-0.05768,1420.72876,241.02057,-0.04498,69.64818,-60.52347,-0.0478
2023Q1,128.37909,2.33364,20513.54523,2.11431,0.0044,992.87967,3.15515,3.53278,3.65844,0.83135,0.83725,132.13075,2868734.848,1.67283,-0.0026,1486.94076,1.17,76.93877,-51.31037,0.1126,193.86663,41.2158,0.00249,926.87549,197.71743,-0.03426,86150.8665,650.79176,0.09501,7022.95302,400.23841,-0.04326,1430.64814,241.12327,-0.03373,70.36697,-60.09051,-0.03585
2023Q2,129.12702,2.32948,20621.06296,2.1042,0.00201,993.40483,3.16461,3.5416,3.66688,0.8439,0.84958,132.74324,2880680.439,1.66819,-0.00199,1487.3557,1.17117,77.90728,-50.61217,0.08445,194.91225,41.17342,0.00187,933.76761,197.8688,-0.0257,87045.63684,651.26786,0.07126,7073.07465,400.35784,-0.03245,1440.68719,241.23319,-0.0253,71.08983,-59.65834,-0.02689
2023Q3,129.87827,2.32567,20728.79002,2.09556,0,993.92788,3.17287,3.54929,3.67425,0.85478,0.86101,133.36038,2892653.643,1.66424,-0.00152,1487.77001,1.17234,78.89109,-49.91628,0.06334,195.97056,41.13528,0.0014,940.70556,198.02253,-0.01927,87927.74274,651.71385,0.05345,7123.70045,400.48283,-0.02433,1450.84893,241.34962,-0.01898,71.81743,-59.22688,-0.02017
2023Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
