,cpi_us,d4l_cpi_us,y_us,d4l_y_us,l_y_us_gap,l_y_us_tnd,i_fed_us,i_3lib_us,i_6lib_us,r_us,r_fed_us_tnd,cpi_ez,y_ez,d4l_y_ez,l_y_ez_gap,l_y_ez_tnd,usd_eur,oil,l_qoil_tnd,l_qoil_gap,food,l_qfood_tnd,l_qfood_gap,diam,l_qdiam_tnd,l_qdiam_gap,coblt,l_qcoblt_tnd,l_qcoblt_gap,copp,l_qcopp_tnd,l_qcopp_gap,gold,l_qgold_tnd,l_qgold_gap,coal,l_qcoal_tnd,l_qcoal_gap
Comments,"US Consumer Price Index (index, 2005=100, USD)","US Headline CPI Inflation (percent, YoY, log approx.)","US Real GDP (Mil. USD, 2005 prices)","US Real GDP Growth (percent, YoY, log approx.)",US Real GDP Gap (percent),US Real GDP Trend (100*log),US Fed Funds Interest Rate (percent p.a.),3M USD LIBOR Interest Rate (percent p.a.),6M USD LIBOR Interest Rate (percent p.a.),US Real Interest Rate (percent p.a.),US Equilibrium Real Interest Rate (percent p.a.),"EZ Consumer Price Index (index, 2005=100, EUR)","EZ Real GDP (Mil. EUR, 2000 prices)","EZ Real GDP Growth (percent, YoY, log approx.)",EZ Real GDP Gap (percent),EZ Real GDP Trend (100*log),Nominal USD per EUR Exchange Rate (USD per 1 EUR),Price of Brent Crude Oil (USD),"Real Price of Oil Trend (100*log, deflated by US CPI)","Real Price of Oil Gap (percent, deflated by US CPI)","Food Price Index (2002-2004=100, FAO (UN), USD)","Real Price of Food Trend (100*log, deflated by US CPI)","Real Price of Food Gap (percent, deflated by US CPI)",Industrial Diamonds Price Index (USD),"Real Price of Industrial Diamonds Trend (100*log, deflated by US CPI)","Real Price of Industrial Diamonds Gap (percent, deflated by US CPI)",Shanghai Cobalt Spot Price (USD),"Real Price of Shanghai Cobalt Trend (100*log, deflated by US CPI)","Real Price of Shanghai Cobalt Gap (percent, deflated by US CPI)",LME Copper Spot Price (USD),"Real Price of LME Copper Trend (100*log, deflated by US CPI)","Real Price of LME Copper Gap (percent, deflated by US CPI)",Gold Spot Price (USD),"Real Price of Gold Trend (100*log, deflated by US CPI)","Real Price of Gold Gap (percent, deflated by US CPI)",Price of CSX Coal Future (USD),"Real Price of CSX Coal Futures Trend (100*log, deflated by US CPI)","Real Price of CSX Coal Futures Gap (percent, deflated by US CPI)"
2002Q2,82.27183,1.25963,13478.2,1.33095,-1.64991,952.53279,1.74116,1.89824,2.08127,0.66836,0.98902,93.64564,2187414.9,0.91789,0.47136,1459.35174,0.92008,25.07197,-108.70073,-10.12711,86.00539,20.71988,-16.28176,1233.49333,244.88016,25.87752,30662.90253,603.74197,-11.66396,1612.06287,326.77095,-29.24683,313.18673,140.36193,-6.68485,26.1679,-84.31121,-30.2383
2002Q3,82.69983,1.56082,13538.1,2.19029,-1.66292,952.98924,1.7332,1.79313,1.80005,0.42934,0.9047,94.02327,2196092.9,1.23622,0.42562,1459.79342,0.98365,26.92416,-105.71399,-6.50536,89.77571,20.91615,-12.70645,1213.47,247.18938,21.4128,29934.21661,604.70595,-15.55195,1516.71159,328.96556,-38.05732,314.50247,141.96021,-8.38277,28.78295,-83.25495,-22.28847
2002Q4,83.29004,2.20037,13559,2.07236,-1.98536,953.46594,1.43646,1.53734,1.52847,0.09762,0.78248,94.57519,2199798.5,1.18314,0.16197,1460.22566,1.00099,26.75147,-102.56217,-11.01178,93.58942,21.27934,-9.6205,1343.36333,249.37955,28.68072,28927.42805,605.75759,-20.73593,1554.30265,331.46948,-38.82415,323.75627,143.75156,-7.98536,27.99252,-81.89656,-27.14261
2003Q1,84.07234,2.86221,13634.3,1.75579,-1.96147,953.99587,1.24758,1.32309,1.31814,-0.45548,0.71448,95.35035,2193918.6,0.80573,-0.53265,1460.65263,1.07355,31.42494,-99.22189,0.81431,94.94743,21.79537,-9.63079,1428.88667,251.42177,31.87556,27563.97057,606.90663,-27.64791,1662.71641,334.27795,-35.82492,351.7738,145.72706,-2.59599,30.4868,-80.21033,-21.22805
2003Q2,83.99833,2.07682,13751.5,2.00743,-1.70428,954.5946,1.24581,1.22826,1.19092,-0.1579,0.68784,95.43152,2195145.7,0.3528,-0.90611,1461.08201,1.13722,26.12374,-95.76404,-21.03121,94.6165,22.45967,-10.55617,1430.49667,253.29283,30.20518,25432.85513,608.1639,-36.86388,1641.35821,337.37284,-40.12459,347.46494,147.85712,-5.87044,30.84413,-78.25144,-21.93361
2003Q3,84.48896,2.14033,13985.1,3.24845,-0.70781,955.28259,1.00978,1.12262,1.16128,-0.87206,0.60398,95.9478,2206205.9,0.45944,-0.83873,1461.51721,1.12634,28.44072,-92.06967,-16.81022,97.41983,23.26975,-9.02886,1695.86667,254.97616,44.95668,22937.23086,609.54143,-49.15184,1753.07385,340.74949,-37.49898,363.77004,150.1478,-4.15769,33.72994,-76.04059,-15.78291
2003Q4,84.8858,1.89779,14145.6,4.23531,-0.29334,956.00923,0.99432,1.16026,1.21997,-1.1106,0.55014,96.47403,2223316.8,1.06344,-0.5082,1461.95927,1.19073,29.41383,-88.17266,-17.81154,103.89484,24.2133,-4.00607,2250.52,256.43733,71.32365,34248.72255,611.05256,-11.04279,2060.29777,344.38186,-25.45197,392.7063,152.58494,0.59057,36.63237,-73.65199,-10.38547
2004Q1,85.6229,1.82752,14221.1,4.21381,-0.50659,956.75479,0.99824,1.11523,1.17055,-1.4058,0.53745,97.02803,2236072.1,1.90315,-0.38309,1462.40622,1.25112,31.94679,-84.0833,-14.50482,110.54729,25.26495,0.2841,2320.06667,257.63046,72.30938,55553.06014,612.59863,34.91547,2724.4921,348.21672,-2.20827,408.49244,155.14242,1.10964,46.92019,-71.16156,11.01108
2004Q2,86.37205,2.78673,14329.5,4.11724,-0.53461,957.54218,1.00781,1.29355,1.52595,-1.89401,0.52083,97.60424,2247917.8,2.37559,-0.306,1462.85749,1.205,35.49147,-79.8421,-9.09509,113.87457,26.40191,1.24143,1979.40667,258.54234,54.64648,61487.61494,614.06307,42.72961,2781.49366,352.17122,-4.96331,393.65561,157.81264,-6.13142,51.47682,-68.75346,17.00021
2004Q3,86.74936,2.64023,14465,3.37395,-0.42885,958.37757,1.42932,1.7385,1.95465,-1.16788,0.4691,98.08695,2254510.4,2.16586,-0.46785,1463.31219,1.22278,41.59485,-75.5064,2.00172,112.94405,27.61381,-1.22685,1974.51333,259.18464,53.32078,56095.9414,615.41394,31.76562,2854.72276,356.22562,-6.85493,401.96182,160.62083,-7.28742,61.10071,-66.50688,31.45693
